Residence,date,unit_session_id,Age,BHI_A_1_r,BHI_A_2_r,BHI_A_3,BHI_A_4,BHI_C_1,BHI_C_2_r,BHI_C_3,BHI_C_4_r,BHI_E_1,BHI_E_2_r,BHI_E_3_r,BHI_E_4,BHI_HH_1,BHI_HH_2_r,BHI_HH_3_r,BHI_HH_4_r,BHI_O_1,BHI_O_2_r,BHI_O_3,BHI_O_4,BHI_X_1_r,BHI_X_2,BHI_X_3,BHI_X_4_r,Corona,Curfew_1,Curfew_1_1,Curfew_1_2,Curfew_2,Curfew_2_1,Curfew_2_2,Curfew_2_3,gender,Household_Size,Left_Right_Politics,Nationality,Risk_Duration,Risk_Freq,Risk_Quarantine,survey,ToP_Amount,ToP_Freqency,ToP_Inhouse,ToP_Ratio,Residence_County,BHI_HH_2,BHI_HH_3,BHI_HH_4,HH,BHI_E_2,BHI_E_3,E,BHI_X_1,BHI_X_4,X,BHI_A_1,BHI_A_2,A,BHI_C_2,BHI_C_4,consc,BHI_O_2,open,mobility,public_transport,Quarantine_Duration,continent,Germany,USA,German,American,europe,Americas,Rest,Country,Date.of.First.Case,Date.of.50th.case,date_diff,politics,perceived_threat,age,z.ToP_Amount,z.ToP_Freqency,z.ToP_Inhouse,duration,household,date_diff_z,Cat.Country
NA,2020-03-24,5323009,39,4,2,4,2,2,2,4,2,4,4,4,4,4,1,1,1,5,1,5,4,1,4,5,1,7,2,NA,NA,1,1,1,2,1,5,4,US,NA,5,2,2,2,2,10.5,2,NA,5,5,5,1.3621948043083905,2,2,-0.04228402301515715,5,5,1.2866291200169857,2,4,0.23139317856893354,4,4,0.04968980394652554,5,1.3881057039907614,0,0,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,0.45441334045715864,0.9135707084212937,0.7028522228644755,0.22889502795817385,0.51074283119541,0.11202311999103683,-0.38637369313045344,1.530428638938585,0.6566973238348977,Americas
NA,2020-03-24,5333955,34,2,3,2,2,4,3,4,3,4,1,4,2,5,2,1,2,4,1,5,5,2,2,4,2,3,2,NA,NA,1,1,1,2,3,2,3,US,NA,0,2,2,3,2,14.5,2,NA,4,5,4,0.9891549293864337,5,2,0.3440910863710494,4,4,-0.6794380839365554,4,3,-0.20181660687215294,3,3,0.04968980394652554,5,1.3881057039907614,0,0,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,-0.14425820331973283,-0.89991494297404,0.18804062264898963,1.5391217397187555,0.51074283119541,0.8104583469774068,-0.38637369313045344,-0.3765441605395183,0.6566973238348977,Americas
NA,2020-03-24,5322919,20,3,3,4,4,4,4,4,2,3,2,3,2,5,3,3,2,3,1,3,3,1,2,4,2,4,1,1,2,1,1,1,1,1,4,4,US,NA,0,2,2,1,1,10.5,3,NA,3,3,4,-0.1299646953794369,4,3,-0.04228402301515715,5,4,-0.2862246431458471,3,3,1.0978127494511065,2,4,0.04968980394652554,5,-0.911550452321279,1,1,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,0.45441334045715864,-0.44654353012520653,-1.2534318579543706,-1.0813316838024079,-1.1408800904624739,0.11202311999103683,-0.38637369313045344,0.8947710391125506,0.6566973238348977,Americas
NA,2020-03-24,5323237,32,2,4,2,3,4,2,3,3,4,2,4,2,1,5,3,1,3,1,3,4,1,4,5,2,3,2,NA,NA,1,1,1,2,1,2,2,US,NA,0,2,2,1,1,22.5,3,NA,1,3,5,-1.9951640699892212,4,2,-0.04228402301515715,5,4,0.8934156792262776,4,2,-0.20181660687215294,4,3,0.04968980394652554,5,-0.45161922105887087,0,0,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,-0.7429297470966243,-0.89991494297404,-0.017884017437204712,-1.0813316838024079,-1.1408800904624739,2.2073288009501466,-0.38637369313045344,-0.3765441605395183,0.6566973238348977,Americas
NA,2020-03-24,5323227,32,3,4,4,2,2,4,2,4,4,2,4,3,3,3,2,2,3,1,4,4,2,1,3,3,7,2,NA,NA,1,1,1,2,1,1,3,US,9,0,1,2,2,2,22.5,3,NA,3,4,4,-0.5030045703013938,4,2,0.3440910863710494,4,3,-1.85907840630868,3,2,-0.20181660687215294,2,2,-2.3258803431289636,5,0.00831201020353719,0,0,9,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,-0.14425820331973283,0.9135707084212937,-0.017884017437204712,0.22889502795817385,0.51074283119541,2.2073288009501466,2.204092862756895,-1.0122017603655526,0.6566973238348977,Americas
NA,2020-03-24,5336065,27,5,5,4,3,5,5,4,2,2,5,5,5,2,3,4,3,2,1,5,4,1,4,5,1,2,1,1,2,1,1,1,1,2,3,2,US,NA,0,2,2,3,2,18.5,2,NA,3,2,3,-1.9951640699892212,1,1,-1.201409351173777,5,5,1.2866291200169857,1,1,-1.0682361777543259,1,4,0.04968980394652554,5,0.00831201020353719,1,1,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,-0.7429297470966243,-1.3532863558228734,-0.5326956176526906,1.5391217397187555,0.51074283119541,1.5088935739637768,-0.38637369313045344,0.25911343928651615,0.6566973238348977,Americas
NA,2020-03-24,5323003,23,2,4,2,2,5,2,5,5,2,2,3,5,3,1,2,1,4,1,5,4,1,4,4,1,5,2,NA,NA,1,1,1,2,1,2,3,US,NA,1,2,2,2,2,22.5,2,NA,5,4,5,0.6161150544644768,4,3,0.7304661957572559,5,5,0.8934156792262776,4,2,-0.6350263923132394,4,1,0.44561816179244035,5,0.9281744727283533,0,0,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,-0.14425820331973283,0.006827882723626893,-0.9445448978250792,0.22889502795817385,0.51074283119541,2.2073288009501466,-0.38637369313045344,-0.3765441605395183,0.6566973238348977,Americas
NA,2020-03-24,5323037,32,3,4,5,3,5,3,4,3,3,2,4,3,4,1,1,1,3,1,4,3,2,2,4,1,5,1,1,1,1,1,2,2,2,2,2,US,NA,0,2,2,3,3,22.5,2,NA,5,5,5,1.3621948043083905,4,2,-0.04228402301515715,4,5,-0.2862246431458471,3,2,0.6646029640100201,3,3,0.44561816179244035,5,-0.45161922105887087,1,0,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,-0.7429297470966243,0.006827882723626893,-0.017884017437204712,1.5391217397187555,2.162365752853294,2.2073288009501466,-0.38637369313045344,-0.3765441605395183,0.6566973238348977,Americas
NA,2020-03-24,5324363,25,5,1,4,4,1,5,1,4,4,2,4,2,3,3,5,1,3,1,4,4,2,2,4,2,6,2,NA,NA,1,1,1,1,2,5,4,MX,NA,0,2,2,1,1,0,1,NA,3,1,5,-1.2490843201453075,4,2,-0.04228402301515715,4,4,-0.6794380839365554,1,5,1.0978127494511065,1,2,-3.513665416666708,5,0.00831201020353719,0,1,0,Americas,0,1,0,0,0,1,0,US,2020-01-21,24.02.2020,63,0.45441334045715864,0.4601992955724603,-0.7386202577388848,-1.0813316838024079,-1.1408800904624739,-1.7213693508481844,-0.38637369313045344,1.530428638938585,0.6566973238348977,Americas
NA,2020-03-24,5358521,24,3,2,2,3,5,4,4,2,3,1,2,2,3,1,4,1,5,1,3,3,1,4,5,1,4,2,NA,NA,1,1,2,2,1,4,3,CN,NA,0,2,2,3,3,22.5,3,NA,5,2,5,-0.1299646953794369,5,4,0.7304661957572559,5,5,1.2866291200169857,3,4,0.23139317856893354,2,4,0.44561816179244035,5,0.00831201020353719,0,0,0,Americas,0,1,0,0,0,1,0,US,2020-01-21,24.02.2020,63,-0.14425820331973283,-0.44654353012520653,-0.8415825777819821,1.5391217397187555,2.162365752853294,2.2073288009501466,-0.38637369313045344,0.8947710391125506,0.6566973238348977,Americas
